Compound,mean EN difference,geom-mean_eta_both,MagpieData mean Electronegativity,max ionic char,MagpieData avg_dev MendeleevNumber,MagpieData minimum Electronegativity,MagpieData range MeltingT,MagpieData mean Row,MagpieData avg_dev NpValence,MagpieData mean GSbandgap,std_dev EN difference,Formation_energy
SH-NC-Zn,0.676666666666667,6.20679103268891,2.404,0.383085599679248,6.88,1.65,3808.99,2.4,1.44,4.1976,0.453688586293873,0.2283087506
SH-NO-Ba,0.966666666666666,6.22659405530057,2.43,0.803211356141508,25.04,0.89,985.99,2.8,1.76,3.2984,1.08352818760443,-0.7545342534
SH-NO-Be,0.74,10.8540160828469,2.566,0.582814787035019,6.96,1.57,1545.99,2,1.76,3.2984,0.737495762699692,-0.0278149274
SH-NO-Ca,0.93,7.18901359427778,2.452,0.774266459580783,25.68,1,1100.99,2.4,1.76,3.2984,1.0252804494381,-0.7271093034
SH-NO-Cd,0.7,5.79152547545548,2.59,0.534956811865944,6.24,1.69,580.21,2.6,1.76,3.2984,0.681689078686171,0.0653168406
SH-NO-Co,0.636666666666666,5.36766224258801,2.628,0.455779073674793,9.36,1.88,1753.99,2.4,1.76,3.2984,0.599110451697626,0.0297938486
SH-NO-Cu,0.63,5.38939390566336,2.632,0.447277935696606,7.68,1.9,1343.76,2.4,1.76,3.2984,0.590931468107766,0.1270099346
SH-NO-Fe,0.653333333333333,5.1636268394443,2.618,0.476922164006862,10.32,1.83,1796.99,2.4,1.76,3.2984,0.620026881137692,0.1027554886
SH-NO-Mg,0.826666666666666,8.49457554708204,2.514,0.678328679969553,6.72,1.31,908.99,2.2,1.76,3.2984,0.865120415510658,-0.3943681634
SH-NO-Mn,0.746666666666666,5.59768186366236,2.562,0.590584603914435,11.28,1.55,1504.99,2.4,1.76,3.2984,0.74701628719415,-0.2699479574
SH-NO-Ni,0.626666666666666,5.43233909400784,2.634,0.443019472906049,8.4,1.91,1713.99,2.4,1.76,3.2984,0.586884429281723,0.0249495926
SH-NO-Pb,0.486666666666666,5.43233909400784,2.718,0.319140970908075,3.6,2.2,586.6,2.8,1.28,3.2984,0.452143045211726,0.0532849026
SH-NO-Pd,0.53,5.04293689582899,2.692,0.319140970908075,8.16,2.2,1814.04,2.6,1.76,3.2984,0.484974226119286,0.0705370506
SH-NO-Pt,0.78,5.32366303214204,2.708,0.319140970908075,7.92,2.2,2027.39,2.8,1.76,3.2984,0.056568542494924,0.1381208886
SH-NO-Sr,0.946666666666666,6.74905702419366,2.442,0.787757332306276,25.36,0.95,1035.99,2.6,1.76,3.2984,1.05168119377183,-0.7514853594
SH-NO-Zn,0.713333333333333,5.8837626895676,2.582,0.551131362113503,6.48,1.65,678.67,2.4,1.76,3.2984,0.700023809118899,0.0362223986
SH-OCN-Ba,1.14,6.31555741837449,2.45,0.803211356141508,21.1666666666667,0.89,3808.99,2.66666666666667,1.5,3.498,0.875042856093346,-0.9252972078
SH-OCN-Be,0.913333333333333,11.0090944073711,2.56333333333333,0.582814787035019,6.83333333333333,1.57,3808.99,2,1.5,3.498,0.496621921921831,-0.2355039228
SH-OCN-Ca,1.10333333333333,7.29172766570286,2.46833333333333,0.774266459580783,21.7222222222222,1,3808.99,2.33333333333333,1.5,3.498,0.812916559883813,-0.8741421695
